,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,"('𐒆', 0.9980196476200311)","('𐒐', 0.9077975718585687)","('𐒀', 0.9496976346263)","('𐒔', 0.9413225394681211)","('𐒉', 0.9158354201716494)","('𐒋', 0.9010932928536382)","('𐒒', 0.8918835102103457)","('𐒄', 0.8892922799319949)","('𐒎', 0.88546198631889)","('𐒈', 0.8844163457525254)","('𐒜', 0.883772463741009)","('𐒑', 0.859976590874808)","('𐒁', 0.859824333581505)","('𐒛', 0.8525123928095688)","('𐒏', 0.8457916676402268)","('𐒝', 0.8201156204288109)","('𐒍', 0.8179126886535902)","('𐒅', 0.815464482607569)","('𐒘', 0.8143412487241776)","('𐒕', 0.812241097714907)","('𐒙', 0.806692398239435)","('𐒖', 0.7917881959268055)","('𐒂', 0.7775364948090587)","('𐒊', 0.764333400249575)","('𐒓', 0.754879055347825)","('𐒚', 0.7391808771687579)","('𐒌', 0.6991782593007101)","('𐒗', 0.5058268620911066)","('𐒇', 0.4318382852442798)","('𐒃', 0.0)"
11,"('𐒎', 0.9989686464250895)","('𐒀', 0.9461710010998541)","('𐒋', 0.9629793540977792)","('𐒏', 0.9159007869668894)","('𐒔', 0.8966834788573436)","('𐒁', 0.8693238188696426)","('𐒒', 0.866148217369635)","('𐒆', 0.8615656756850733)","('𐒜', 0.8414506411942732)","('𐒉', 0.8359845120691088)","('𐒈', 0.8272503241954627)","('𐒐', 0.7427882680417037)","('𐒘', 0.7424449605755208)","('𐒄', 0.7359352778341894)","('𐒚', 0.7323000757639682)","('𐒕', 0.683465815902994)","('𐒑', 0.654590327915314)","('𐒛', 0.6313866741226941)","('𐒅', 0.6261037429003593)","('𐒍', 0.568952950557365)","('𐒝', 0.5579559673805555)","('𐒂', 0.528079454425787)","('𐒖', 0.5180539466290648)","('𐒌', 0.5015845210698165)","('𐒙', 0.4906812421178989)","('𐒊', 0.45427536480071873)","('𐒓', 0.44646270267627863)","('𐒗', 0.2943594357542132)","('𐒃', 0.0006037417235766895)","('𐒇', 0.0)"
12,"('𐒝', 0.9475461344715128)","('𐒓', 0.9978857208990785)","('𐒙', 0.9702840278940881)","('𐒐', 0.91924092088511)","('𐒄', 0.9320054523536787)","('𐒂', 0.9066751555731708)","('𐒅', 0.9635201570991213)","('𐒌', 0.9609093240736619)","('𐒊', 0.9392960855118699)","('𐒍', 0.9407277717841029)","('𐒑', 0.9440931067732099)","('𐒛', 0.9114134951749657)","('𐒈', 0.8796281781445177)","('𐒕', 0.874151894515045)","('𐒜', 0.8716187967561064)","('𐒆', 0.8588738486639205)","('𐒖', 0.856929105395342)","('𐒁', 0.8544452390725874)","('𐒉', 0.831663610283015)","('𐒔', 0.8295809916061674)","('𐒗', 0.8085175246489819)","('𐒋', 0.786505969931609)","('𐒀', 0.7812796841154358)","('𐒘', 0.7671736969482975)","('𐒏', 0.7516092665101206)","('𐒎', 0.7499390489545243)","('𐒒', 0.7232029044381605)","('𐒚', 0.5804433669610902)","('𐒇', 0.48407217455347773)","('𐒃', 0.0)"
13,"('𐒙', 0.9468461089500158)","('𐒓', 0.9234567695824365)","('𐒂', 0.9921558267893852)","('𐒄', 0.9634081980193033)","('𐒐', 0.975856413832935)","('𐒅', 0.9362353235941747)","('𐒜', 0.9142263027966875)","('𐒍', 0.9614704475428802)","('𐒉', 0.9044911356496969)","('𐒖', 0.9133043345506661)","('𐒑', 0.9333322032219014)","('𐒛', 0.9452237290409563)","('𐒆', 0.8947497057279221)","('𐒝', 0.8841415534303865)","('𐒊', 0.8774556549509511)","('𐒈', 0.8732505227796247)","('𐒀', 0.8715036679195903)","('𐒘', 0.8707030812818175)","('𐒋', 0.8644687778396568)","('𐒌', 0.8604197507620763)","('𐒔', 0.8515509384749032)","('𐒏', 0.8513089330322013)","('𐒁', 0.8511449059419824)","('𐒎', 0.8249654178118841)","('𐒕', 0.7963970902898434)","('𐒒', 0.7866715411525759)","('𐒚', 0.7728524213902805)","('𐒇', 0.7014099886008813)","('𐒗', 0.6401912663086319)","('𐒃', 0.0)"
14,"('𐒅', 0.9262087919789826)","('𐒆', 0.9041851851437495)","('𐒐', 0.9098756936928275)","('𐒈', 0.9975996501532692)","('𐒕', 0.9330470767317016)","('𐒜', 0.9262264547721784)","('𐒔', 0.9289412735609966)","('𐒑', 0.9456334302001742)","('𐒋', 0.9175021435472783)","('𐒉', 0.8972276524021572)","('𐒊', 0.8881756816475648)","('𐒌', 0.8852190103302007)","('𐒒', 0.8839901148094418)","('𐒁', 0.8835094665492788)","('𐒀', 0.8833183093334265)","('𐒄', 0.881538112921488)","('𐒛', 0.8807674820856226)","('𐒍', 0.86198569981976)","('𐒎', 0.8593002554973042)","('𐒏', 0.8562776045687335)","('𐒖', 0.8558448765833835)","('𐒙', 0.8395642241939598)","('𐒝', 0.8011287461009607)","('𐒗', 0.798789468941687)","('𐒓', 0.795778647201963)","('𐒘', 0.7509216071489622)","('𐒂', 0.7387242072860027)","('𐒚', 0.641455877542962)","('𐒇', 0.23450044865902908)","('𐒃', 0.0)"
15,"('𐒒', 0.9972140495771492)","('𐒀', 0.9193267134425891)","('𐒋', 0.8967463645841887)","('𐒔', 0.8947494752390682)","('𐒆', 0.8822577050590383)","('𐒎', 0.8584129540972163)","('𐒈', 0.8583353206599922)","('𐒉', 0.8027976443905916)","('𐒜', 0.7994389049672135)","('𐒏', 0.7892371994842078)","('𐒚', 0.7506650737608556)","('𐒐', 0.704572536251562)","('𐒕', 0.6914202148740325)","('𐒁', 0.6603717650242513)","('𐒑', 0.6442724566379487)","('𐒖', 0.6071908545088173)","('𐒛', 0.5879807075133504)","('𐒄', 0.5859746151537959)","('𐒘', 0.5715343824688857)","('𐒅', 0.5506064230271517)","('𐒊', 0.5156512574962822)","('𐒍', 0.4831844216278294)","('𐒝', 0.4459680868404231)","('𐒙', 0.4404982315250434)","('𐒌', 0.3674921950475837)","('𐒗', 0.3421175727396851)","('𐒂', 0.3371283812714041)","('𐒓', 0.23647537415428)","('𐒃', 0.03253779952765945)","('𐒇', 0.0)"
16,"('𐒎', 0.9525809709125799)","('𐒁', 0.9034824486971559)","('𐒆', 0.9013226299202836)","('𐒀', 0.9734290523624269)","('𐒉', 0.9504935954825924)","('𐒋', 0.9926543730355271)","('𐒈', 0.9106607549322391)","('𐒔', 0.9425519919910336)","('𐒏', 0.9710273660335368)","('𐒒', 0.8929543343609612)","('𐒜', 0.8813483971273843)","('𐒘', 0.8753956093844882)","('𐒐', 0.8722521665414089)","('𐒄', 0.8665267036878956)","('𐒑', 0.8376156281472714)","('𐒛', 0.8282459647096063)","('𐒕', 0.7915793222992068)","('𐒍', 0.7871406299084968)","('𐒅', 0.7800627977905947)","('𐒖', 0.7690564420270506)","('𐒚', 0.7605632324554182)","('𐒂', 0.7334944562246244)","('𐒙', 0.6608386626010994)","('𐒌', 0.6581131414132383)","('𐒊', 0.6526700342779754)","('𐒝', 0.6123327482195926)","('𐒓', 0.612328658191257)","('𐒗', 0.44395250522134266)","('𐒇', 0.32547924366431624)","('𐒃', 0.0)"
17,"('𐒎', 0.9188103175721123)","('𐒆', 0.9471371638828889)","('𐒁', 0.9112401109523122)","('𐒔', 0.9862854267214484)","('𐒀', 0.9497040043574271)","('𐒒', 0.9219473955793281)","('𐒈', 0.9536343961599115)","('𐒉', 0.9161044690723533)","('𐒋', 0.954772214968508)","('𐒕', 0.897005828861066)","('𐒏', 0.8828163169687187)","('𐒜', 0.8811356331324495)","('𐒑', 0.858370979952531)","('𐒐', 0.8477467427976529)","('𐒄', 0.8411132650097448)","('𐒅', 0.8049393383441721)","('𐒛', 0.8028294693905682)","('𐒘', 0.7726127479222308)","('𐒍', 0.7588652462566224)","('𐒊', 0.73647826977506)","('𐒌', 0.725712162433509)","('𐒖', 0.722479365237003)","('𐒝', 0.713125575927764)","('𐒙', 0.7012922074009883)","('𐒓', 0.6626475253473951)","('𐒂', 0.6327108239836787)","('𐒚', 0.6290324548337765)","('𐒗', 0.5908081619450818)","('𐒇', 0.09882319743897794)","('𐒃', 0.0)"
18,"('𐒐', 0.9365317143616487)","('𐒜', 0.9956424536749852)","('𐒆', 0.9098555199081411)","('𐒅', 0.9003806666373098)","('𐒈', 0.9325073284114495)","('𐒝', 0.8918787983972234)","('𐒋', 0.8851026672488658)","('𐒒', 0.8834541195030003)","('𐒎', 0.8794045051110702)","('𐒀', 0.8792243826936872)","('𐒙', 0.8739500594078491)","('𐒔', 0.8731248351093499)","('𐒑', 0.8674137270040947)","('𐒄', 0.8573642539548012)","('𐒉', 0.8291944453082006)","('𐒊', 0.8291528163013464)","('𐒌', 0.8161423773134474)","('𐒏', 0.8147185262481214)","('𐒁', 0.8097217773826604)","('𐒕', 0.8079343503465857)","('𐒛', 0.8078042444810605)","('𐒍', 0.8068637464403258)","('𐒖', 0.7940246077384797)","('𐒚', 0.7849759605404847)","('𐒓', 0.7837036027416686)","('𐒂', 0.7798999524780706)","('𐒗', 0.7130734177409468)","('𐒘', 0.6868413112190094)","('𐒇', 0.29509617766701135)","('𐒃', 0.0)"
19,"('𐒙', 0.90773589028506)","('𐒓', 0.9389767101870979)","('𐒌', 0.9963736516031049)","('𐒅', 0.9650920416395926)","('𐒊', 0.9401778413757701)","('𐒕', 0.9316515791901915)","('𐒈', 0.9261054711327716)","('𐒑', 0.9389573742592207)","('𐒗', 0.916391851595415)","('𐒍', 0.8914265927804772)","('𐒝', 0.8839434973644625)","('𐒄', 0.8820313286917026)","('𐒛', 0.8729383634779567)","('𐒐', 0.8725428084190017)","('𐒜', 0.8643295730813743)","('𐒁', 0.8573927357317088)","('𐒔', 0.8309519556867041)","('𐒖', 0.8172964258351272)","('𐒆', 0.8114060614424642)","('𐒉', 0.8021344352037441)","('𐒋', 0.7880502961468893)","('𐒂', 0.7823713700496917)","('𐒀', 0.7443726764119507)","('𐒏', 0.7389140506377158)","('𐒎', 0.7372257548652119)","('𐒒', 0.7295921468113208)","('𐒘', 0.6920560516829388)","('𐒚', 0.4819705037161476)","('𐒇', 0.23642743806705313)","('𐒃', 0.0)"
20,"('𐒙', 0.9438432508891827)","('𐒐', 0.9365510422134307)","('𐒄', 0.9566575866328381)","('𐒓', 0.9607215545816791)","('𐒌', 0.9397217937274867)","('𐒅', 0.9632519304671365)","('𐒊', 0.9505182240373329)","('𐒂', 0.913327993201821)","('𐒍', 0.9819528393052659)","('𐒕', 0.9158487937316999)","('𐒉', 0.906848738959653)","('𐒈', 0.9142578944081259)","('𐒖', 0.9262520563055936)","('𐒑', 0.9882459678196691)","('𐒛', 0.9697676641352477)","('𐒆', 0.8882826943314706)","('𐒔', 0.8823159068049409)","('𐒁', 0.8777566817669368)","('𐒝', 0.8678098330950397)","('𐒜', 0.8528332344566845)","('𐒘', 0.8407943879151154)","('𐒋', 0.8321027282651748)","('𐒀', 0.8290772872764006)","('𐒏', 0.8060236904407199)","('𐒗', 0.777039542785404)","('𐒒', 0.7696816717538862)","('𐒎', 0.7554481451412252)","('𐒚', 0.5823624724657485)","('𐒇', 0.5511302968157)","('𐒃', 0.0)"
21,"('𐒗', 0.9950664054763073)","('𐒕', 0.8862422186419606)","('𐒌', 0.8783281377944935)","('𐒊', 0.878315068080356)","('𐒈', 0.8763039528665929)","('𐒅', 0.8288644430259968)","('𐒑', 0.8151876632391837)","('𐒜', 0.765381164968348)","('𐒙', 0.7577084196855816)","('𐒝', 0.7495101707348983)","('𐒔', 0.7353374583140067)","('𐒒', 0.7240659264534743)","('𐒓', 0.7177593902317365)","('𐒖', 0.7092611862631363)","('𐒐', 0.7088355527329164)","('𐒆', 0.6956460884672204)","('𐒛', 0.6891269416116947)","('𐒍', 0.6890620501136464)","('𐒁', 0.671081471150041)","('𐒋', 0.6637138602932477)","('𐒄', 0.6573169277732984)","('𐒉', 0.6408585386644088)","('𐒀', 0.6135251969953986)","('𐒎', 0.5998721628692143)","('𐒏', 0.5723666704746124)","('𐒂', 0.4935371630907086)","('𐒘', 0.4414690269649739)","('𐒚', 0.3851919149089099)","('𐒃', 0.15376217654555102)","('𐒇', 0.0)"
22,"('𐒖', 0.9986835522147243)","('𐒐', 0.9281250192882553)","('𐒂', 0.900560639934844)","('𐒛', 0.9493289415227437)","('𐒍', 0.9461054241939605)","('𐒑', 0.9473150715169709)","('𐒊', 0.8974934276005672)","('𐒅', 0.8968194490107319)","('𐒄', 0.8898287739894865)","('𐒉', 0.8881091898300693)","('𐒙', 0.8880833454028007)","('𐒈', 0.8734894008723713)","('𐒆', 0.8443392119625572)","('𐒜', 0.8278107354827478)","('𐒓', 0.8180168051651957)","('𐒘', 0.8158719526360705)","('𐒀', 0.8120365214933118)","('𐒌', 0.8108333313736931)","('𐒔', 0.808635572815002)","('𐒋', 0.8080861809425801)","('𐒏', 0.7980719862236059)","('𐒕', 0.7964682304186663)","('𐒒', 0.7820555240988332)","('𐒁', 0.7469509058496941)","('𐒇', 0.746879428021173)","('𐒝', 0.7412696541190331)","('𐒚', 0.71036221077124)","('𐒎', 0.7060814194171369)","('𐒗', 0.6708001633742297)","('𐒃', 0.0)"
23,"('𐒕', 0.997166738844552)","('𐒁', 0.9000328410343644)","('𐒈', 0.9508244191063977)","('𐒔', 0.9213800220418112)","('𐒑', 0.9075828157690289)","('𐒌', 0.8886509907508034)","('𐒅', 0.8683154073676973)","('𐒉', 0.8499751891760008)","('𐒊', 0.8438203275866998)","('𐒆', 0.840533707584062)","('𐒋', 0.8376692898957443)","('𐒗', 0.8314746250254229)","('𐒛', 0.8309923239957095)","('𐒄', 0.828663760783855)","('𐒍', 0.806732820441874)","('𐒀', 0.7969672971320607)","('𐒒', 0.7951582881601676)","('𐒐', 0.7903227693459418)","('𐒜', 0.787435211982557)","('𐒓', 0.7751601099048008)","('𐒏', 0.7749937993669129)","('𐒎', 0.7606117190341346)","('𐒖', 0.7400617773692741)","('𐒙', 0.7353850387123304)","('𐒝', 0.7136484125546203)","('𐒘', 0.7048845476256591)","('𐒂', 0.5961893603853836)","('𐒚', 0.3676662672578699)","('𐒃', 0.034118278239383515)","('𐒇', 0.0)"
24,"('𐒙', 0.9541766872769797)","('𐒓', 0.9392098511804194)","('𐒅', 0.9827968359272907)","('𐒐', 0.9560049171832634)","('𐒄', 0.9458175974713927)","('𐒌', 0.951879902449399)","('𐒜', 0.9094322110277916)","('𐒊', 0.9602918089429286)","('𐒑', 0.9958606364743876)","('𐒈', 0.9524449911501185)","('𐒖', 0.9388461095406652)","('𐒕', 0.9153171835597014)","('𐒛', 0.953394981283447)","('𐒍', 0.967374342678231)","('𐒉', 0.8993108109608473)","('𐒂', 0.8971263484707681)","('𐒆', 0.8927579170445528)","('𐒔', 0.885652625040899)","('𐒝', 0.8838505058512311)","('𐒁', 0.87017949121177)","('𐒋', 0.8601419911374842)","('𐒀', 0.8439915138993539)","('𐒏', 0.8250621035030461)","('𐒗', 0.8209490094849655)","('𐒒', 0.8083527844416576)","('𐒘', 0.8073037478946323)","('𐒎', 0.7909044036803933)","('𐒚', 0.6411968509638075)","('𐒇', 0.4969377276180972)","('𐒃', 0.0)"
25,"('𐒆', 0.9049791913046668)","('𐒄', 0.9811995826836447)","('𐒐', 0.9613455895653086)","('𐒓', 0.9000456078898246)","('𐒅', 0.9449973767950284)","('𐒛', 0.9972061004250146)","('𐒉', 0.9597073367067637)","('𐒂', 0.9350663372415324)","('𐒁', 0.9000224610827628)","('𐒈', 0.9181802768439006)","('𐒘', 0.9138137979639915)","('𐒖', 0.942936786421912)","('𐒑', 0.9734726465074971)","('𐒍', 0.9870577875741674)","('𐒔', 0.8999523682302809)","('𐒙', 0.8930484127830768)","('𐒊', 0.8904563496916378)","('𐒋', 0.8879141294463827)","('𐒌', 0.8844769088454122)","('𐒕', 0.884351567771513)","('𐒏', 0.8836701843696014)","('𐒀', 0.880930437854095)","('𐒜', 0.8671914510800355)","('𐒎', 0.8099458816793019)","('𐒒', 0.8012128641134072)","('𐒝', 0.7921507951618211)","('𐒗', 0.6762836494124151)","('𐒚', 0.6623554290677998)","('𐒇', 0.6201735483966679)","('𐒃', 0.0)"
26,"('𐒚', 0.9974300372588127)","('𐒒', 0.8247165544275944)","('𐒀', 0.8136136723001005)","('𐒎', 0.79235224027456)","('𐒋', 0.7755646325245783)","('𐒜', 0.7385892644103617)","('𐒏', 0.7235901788106371)","('𐒆', 0.7229804813465959)","('𐒉', 0.663763954254988)","('𐒐', 0.661690992447415)","('𐒔', 0.6417983615968357)","('𐒈', 0.6247374804754735)","('𐒖', 0.572333558103944)","('𐒘', 0.547871444305731)","('𐒄', 0.5007308489445284)","('𐒛', 0.4843990386638507)","('𐒂', 0.4817258295915714)","('𐒑', 0.46641897919653286)","('𐒇', 0.4660033714433399)","('𐒁', 0.45952196473745033)","('𐒅', 0.41612550872474074)","('𐒙', 0.4126359664264452)","('𐒍', 0.40841201753216627)","('𐒝', 0.3926263990941359)","('𐒊', 0.34537820994411383)","('𐒕', 0.32913146900391566)","('𐒌', 0.1700266743560741)","('𐒓', 0.1571160192003429)","('𐒗', 0.039187212452064246)","('𐒃', 0.0)"
