,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,"('𐒆', 0.9989604205708731)","('𐒐', 0.9016667662909008)","('𐒀', 0.9435121634979685)","('𐒔', 0.9449731710683008)","('𐒒', 0.9030252030114568)","('𐒉', 0.912400138124997)","('𐒋', 0.8931800707408902)","('𐒈', 0.8891075296989376)","('𐒜', 0.8779200721255728)","('𐒄', 0.8766138032666095)","('𐒎', 0.8708024169159689)","('𐒑', 0.8554964069958679)","('𐒛', 0.8500801022257425)","('𐒁', 0.8468330544953669)","('𐒏', 0.8288384031150309)","('𐒕', 0.8239771523784171)","('𐒝', 0.8128728947799223)","('𐒅', 0.8111985479363084)","('𐒍', 0.8085977761062514)","('𐒙', 0.8004622853722411)","('𐒘', 0.7955180349384909)","('𐒖', 0.7878303933704948)","('𐒊', 0.7745204941755033)","('𐒂', 0.7536515276368304)","('𐒓', 0.7402811476196227)","('𐒚', 0.7236483002504092)","('𐒌', 0.6958056582700546)","('𐒗', 0.5199016292422365)","('𐒇', 0.4068806085330866)","('𐒃', 0.0)"
11,"('𐒎', 0.9985466274269973)","('𐒀', 0.9610877140770385)","('𐒔', 0.9146691569675852)","('𐒋', 0.9710946275894442)","('𐒏', 0.9212826310688609)","('𐒒', 0.8867651705438806)","('𐒆', 0.8863635312184924)","('𐒁', 0.8751657232409893)","('𐒉', 0.8602418448294367)","('𐒜', 0.8556460466115581)","('𐒈', 0.8430699178301265)","('𐒐', 0.7712171259183889)","('𐒘', 0.7629323727264516)","('𐒄', 0.7601264112164279)","('𐒚', 0.7484794902834491)","('𐒕', 0.7043717983447721)","('𐒑', 0.6785176982271645)","('𐒛', 0.6667904964448119)","('𐒅', 0.6501449033408778)","('𐒍', 0.6011616640353961)","('𐒝', 0.5810595100516729)","('𐒂', 0.5603030894545262)","('𐒖', 0.5527205962497845)","('𐒙', 0.523353047623291)","('𐒌', 0.5207989576769017)","('𐒊', 0.49095005090749066)","('𐒓', 0.4729217589699264)","('𐒗', 0.3111000829922155)","('𐒇', 0.05357257829845086)","('𐒃', 0.0)"
12,"('𐒓', 0.9969185887683587)","('𐒙', 0.9779514610914776)","('𐒝', 0.9539220701035712)","('𐒐', 0.9273247830145016)","('𐒅', 0.9639300334425961)","('𐒄', 0.9338381301356653)","('𐒂', 0.9162747986020745)","('𐒊', 0.9441636956558213)","('𐒌', 0.9547823313921575)","('𐒍', 0.943716121059471)","('𐒑', 0.9436107799411335)","('𐒛', 0.9158148286248686)","('𐒈', 0.8791060462023417)","('𐒜', 0.8777797424377032)","('𐒕', 0.8690430667265081)","('𐒆', 0.8662169946194773)","('𐒖', 0.8641551168065893)","('𐒁', 0.8476859109461212)","('𐒉', 0.8354572554245314)","('𐒔', 0.8311886689363194)","('𐒗', 0.8010315758787533)","('𐒋', 0.78795494323235)","('𐒀', 0.7871512174049977)","('𐒘', 0.769310801449804)","('𐒎', 0.7510676712167939)","('𐒏', 0.7509387255405846)","('𐒒', 0.7322626909611134)","('𐒚', 0.599585637083597)","('𐒇', 0.5100174848189303)","('𐒃', 0.0)"
13,"('𐒂', 0.9896656344204974)","('𐒐', 0.9742328866360266)","('𐒄', 0.9555771461399708)","('𐒅', 0.9370516793486446)","('𐒙', 0.9598507251317531)","('𐒜', 0.9081523464982165)","('𐒍', 0.961783213898541)","('𐒓', 0.9294028873685178)","('𐒖', 0.9199283299396167)","('𐒑', 0.9340605401947982)","('𐒛', 0.9457389371521022)","('𐒝', 0.8964574342251845)","('𐒊', 0.8961057342729526)","('𐒉', 0.8955340927167666)","('𐒆', 0.8950995849193194)","('𐒈', 0.8697835126461609)","('𐒌', 0.8631088049559277)","('𐒀', 0.8599647003297788)","('𐒘', 0.8538225208232629)","('𐒋', 0.8475338581290015)","('𐒔', 0.845116674781405)","('𐒁', 0.8329941626146794)","('𐒏', 0.8280675052121127)","('𐒎', 0.8044178351577034)","('𐒕', 0.7983972990657248)","('𐒒', 0.786278394230332)","('𐒚', 0.7663160603838665)","('𐒇', 0.7156447625919955)","('𐒗', 0.6553429871796379)","('𐒃', 0.0)"
14,"('𐒈', 0.9978618888862388)","('𐒕', 0.9405382215393344)","('𐒔', 0.9294038645109942)","('𐒑', 0.9344575599572406)","('𐒋', 0.9042279516867844)","('𐒅', 0.9198171408799336)","('𐒆', 0.9006789267242542)","('𐒐', 0.9030492155410157)","('𐒜', 0.9228319758816774)","('𐒒', 0.8931103673499348)","('𐒉', 0.887709115397874)","('𐒊', 0.887481122569947)","('𐒌', 0.8765093953478232)","('𐒀', 0.8721325016986602)","('𐒛', 0.8712574289426531)","('𐒄', 0.8654512077802966)","('𐒁', 0.8644920202879818)","('𐒍', 0.8464109347579218)","('𐒖', 0.8423948077033835)","('𐒎', 0.8389829569448266)","('𐒏', 0.8347215972961421)","('𐒙', 0.8257573928163106)","('𐒗', 0.8102334941363019)","('𐒝', 0.7875058924962979)","('𐒓', 0.7727498603979776)","('𐒘', 0.7237739455155756)","('𐒂', 0.7070036028839943)","('𐒚', 0.6194549997605612)","('𐒇', 0.18966149710264346)","('𐒃', 0.0)"
15,"('𐒒', 0.9968862478129527)","('𐒀', 0.8937286311886109)","('𐒔', 0.8814339506999688)","('𐒆', 0.8705172166983214)","('𐒋', 0.8614602540738507)","('𐒈', 0.8381657907000402)","('𐒎', 0.8139662283570537)","('𐒉', 0.7821247773077767)","('𐒜', 0.7743725272720464)","('𐒏', 0.7441090975853013)","('𐒚', 0.7263322506082976)","('𐒕', 0.6870086065753537)","('𐒐', 0.6853590294710123)","('𐒑', 0.620605482228851)","('𐒁', 0.6192813126107651)","('𐒖', 0.5918440176439681)","('𐒛', 0.5734351391897465)","('𐒄', 0.5563944357851647)","('𐒘', 0.53684535585356)","('𐒅', 0.5290464897088094)","('𐒊', 0.5175274137142376)","('𐒍', 0.4617124083641716)","('𐒝', 0.4302723447769031)","('𐒙', 0.42644696028484286)","('𐒗', 0.34560322972328994)","('𐒌', 0.3446006404629809)","('𐒂', 0.30510823966378786)","('𐒓', 0.2101368000404884)","('𐒃', 0.05769058095257151)","('𐒇', 0.0)"
16,"('𐒋', 0.9858359928283955)","('𐒔', 0.9584968775703552)","('𐒒', 0.9227522971699109)","('𐒏', 0.9410455339277973)","('𐒈', 0.9367181955103332)","('𐒀', 0.9725741190911293)","('𐒉', 0.9441047516189265)","('𐒆', 0.925442428383139)","('𐒜', 0.9120877216297397)","('𐒎', 0.9460104921938302)","('𐒁', 0.8953777194414667)","('𐒐', 0.8917873653333708)","('𐒄', 0.8681491162750141)","('𐒑', 0.8537484625722545)","('𐒘', 0.8390808736433434)","('𐒛', 0.8352712918001323)","('𐒕', 0.8268146234668503)","('𐒅', 0.8105167768328175)","('𐒍', 0.7946896400532371)","('𐒖', 0.776374667999983)","('𐒚', 0.7606644855538955)","('𐒂', 0.73183582890826)","('𐒊', 0.7117580397708176)","('𐒙', 0.7093798418056045)","('𐒌', 0.6967250187901408)","('𐒝', 0.6772446690458072)","('𐒓', 0.6453730487096541)","('𐒗', 0.514644937826285)","('𐒇', 0.29478376961742014)","('𐒃', 0.0)"
17,"('𐒔', 0.978949475791487)","('𐒕', 0.9005725686034891)","('𐒀', 0.9232440738806698)","('𐒒', 0.9262187608210789)","('𐒈', 0.9370875412426396)","('𐒋', 0.9126465234459178)","('𐒆', 0.9457054540717957)","('𐒉', 0.8887722445343473)","('𐒎', 0.868014955307009)","('𐒁', 0.8650078857659259)","('𐒜', 0.8567531403813906)","('𐒑', 0.8391044462302135)","('𐒐', 0.8259773486836464)","('𐒏', 0.820443492884692)","('𐒄', 0.8055676395554485)","('𐒅', 0.7836681024268217)","('𐒛', 0.7807646130179834)","('𐒊', 0.7512378190405402)","('𐒍', 0.7323522810513419)","('𐒘', 0.7191732952060585)","('𐒝', 0.7179774243534455)","('𐒌', 0.7046116790977721)","('𐒖', 0.7024022137975912)","('𐒙', 0.6986197068088844)","('𐒓', 0.6430204733641784)","('𐒗', 0.6025382509260513)","('𐒚', 0.5906737735862471)","('𐒂', 0.5897464991338086)","('𐒇', 0.07008100360943081)","('𐒃', 0.0)"
18,"('𐒜', 0.9876188758433146)","('𐒐', 0.9178612663306699)","('𐒆', 0.9013249262144883)","('𐒈', 0.9232493092225355)","('𐒝', 0.8972456981017947)","('𐒅', 0.8842540837290962)","('𐒒', 0.8840079453328433)","('𐒙', 0.8666642179511487)","('𐒋', 0.8656516566812937)","('𐒔', 0.8633795801126678)","('𐒀', 0.8629773799332452)","('𐒎', 0.8628988368189942)","('𐒑', 0.8466148272951188)","('𐒄', 0.8295349804654499)","('𐒊', 0.8292826797625684)","('𐒉', 0.8046580871975113)","('𐒌', 0.8037900788484099)","('𐒕', 0.8023788265019085)","('𐒁', 0.7855725972772032)","('𐒏', 0.7820639713172419)","('𐒛', 0.7815688822863343)","('𐒍', 0.7788514270796417)","('𐒚', 0.7720754156925131)","('𐒖', 0.7678069225620481)","('𐒓', 0.7666161276429097)","('𐒂', 0.7479952070322391)","('𐒗', 0.7205413614920079)","('𐒘', 0.6474498213517148)","('𐒇', 0.2558433897153707)","('𐒃', 0.0)"
19,"('𐒌', 0.9895646350714299)","('𐒅', 0.9462057364798023)","('𐒊', 0.9377852684985406)","('𐒕', 0.9320418360285768)","('𐒈', 0.905861011034696)","('𐒑', 0.9206749963142757)","('𐒓', 0.9302815944299077)","('𐒗', 0.9249345959669167)","('𐒙', 0.8917675535622205)","('𐒝', 0.8724724905117981)","('𐒍', 0.870621380756355)","('𐒄', 0.8563614496320935)","('𐒛', 0.8537465592862217)","('𐒐', 0.8419666824253998)","('𐒁', 0.8358248147298024)","('𐒜', 0.8294733697226115)","('𐒔', 0.8136001719025131)","('𐒖', 0.7913685697529566)","('𐒆', 0.7910277077556163)","('𐒉', 0.7760425419715031)","('𐒋', 0.752806578009247)","('𐒂', 0.7476378939495085)","('𐒀', 0.711637508243738)","('𐒒', 0.7061154226303988)","('𐒎', 0.6983167883172783)","('𐒏', 0.6977796473273998)","('𐒘', 0.6599775529731182)","('𐒚', 0.4279841777149377)","('𐒇', 0.2004992109499114)","('𐒃', 0.0)"
20,"('𐒍', 0.9735913046019661)","('𐒌', 0.9514645466194469)","('𐒅', 0.9683819340099541)","('𐒐', 0.9327795984811433)","('𐒕', 0.9204733705749133)","('𐒊', 0.9665176313030825)","('𐒈', 0.9165429230435485)","('𐒖', 0.9205533619051701)","('𐒄', 0.943972416234664)","('𐒑', 0.984544714614414)","('𐒛', 0.9605142653062222)","('𐒙', 0.9531642018194213)","('𐒓', 0.9635643706804208)","('𐒂', 0.8994001234241766)","('𐒉', 0.889131703815015)","('𐒝', 0.8824107300484063)","('𐒆', 0.8807813395326421)","('𐒔', 0.8731131339081394)","('𐒁', 0.861589503828682)","('𐒜', 0.8566922788798682)","('𐒋', 0.8169906481813338)","('𐒀', 0.8125395944684158)","('𐒘', 0.8101079898933891)","('𐒗', 0.8092380208265523)","('𐒏', 0.7825483806668796)","('𐒒', 0.7691895027370209)","('𐒎', 0.7404090292991036)","('𐒚', 0.5719740294710104)","('𐒇', 0.5246046681214342)","('𐒃', 0.0)"
21,"('𐒗', 0.9855732563387886)","('𐒊', 0.8778065799399541)","('𐒕', 0.8754068000063507)","('𐒈', 0.8689772852608647)","('𐒌', 0.858985642202914)","('𐒅', 0.8190188003171417)","('𐒑', 0.8019144860218693)","('𐒜', 0.7682251983254096)","('𐒙', 0.7572232776376563)","('𐒝', 0.7517504974054781)","('𐒒', 0.7349927559221912)","('𐒔', 0.7315704815065955)","('𐒐', 0.708721116493295)","('𐒖', 0.7021605034092294)","('𐒓', 0.7000243584759471)","('𐒆', 0.6983538053628371)","('𐒛', 0.6783248429732908)","('𐒍', 0.6756701410480126)","('𐒋', 0.6523463329505403)","('𐒁', 0.6456050049573372)","('𐒄', 0.6430810741982893)","('𐒉', 0.6312088702719688)","('𐒀', 0.6100043265292294)","('𐒎', 0.5870286904296194)","('𐒏', 0.5522337456922544)","('𐒂', 0.4828453958987664)","('𐒘', 0.41978536814059797)","('𐒚', 0.3955550342931441)","('𐒃', 0.1483095762747425)","('𐒇', 0.0)"
22,"('𐒖', 0.9985360729574254)","('𐒑', 0.9453365664099556)","('𐒊', 0.906548959756089)","('𐒛', 0.9473196521553224)","('𐒍', 0.9394132403333384)","('𐒐', 0.9247979401114211)","('𐒅', 0.894233938879308)","('𐒉', 0.8844437902604241)","('𐒙', 0.8840775130266146)","('𐒂', 0.8802565632294901)","('𐒄', 0.8787648524405783)","('𐒈', 0.8771886620995227)","('𐒆', 0.8455068341090911)","('𐒜', 0.8239863193217762)","('𐒔', 0.8113817575152931)","('𐒌', 0.8068009255980029)","('𐒕', 0.8060692515761908)","('𐒀', 0.8056843425426625)","('𐒓', 0.8045558946407911)","('𐒋', 0.7988850580569506)","('𐒘', 0.7975722402251908)","('𐒒', 0.7923204081777377)","('𐒏', 0.7814007225838896)","('𐒝', 0.7344153576218155)","('𐒁', 0.7317811287639248)","('𐒇', 0.726982936394551)","('𐒚', 0.6964192756169991)","('𐒎', 0.6891775102008514)","('𐒗', 0.684002689891428)","('𐒃', 0.0)"
23,"('𐒕', 0.9979140362555883)","('𐒈', 0.9381127885252507)","('𐒔', 0.9124762813180114)","('𐒑', 0.9018343503441545)","('𐒌', 0.8765105262038242)","('𐒁', 0.8701672735687277)","('𐒅', 0.8614131870353693)","('𐒊', 0.848953880200397)","('𐒉', 0.8430365282810358)","('𐒛', 0.83535506885077)","('𐒆', 0.8325775301279708)","('𐒗', 0.828175917217309)","('𐒄', 0.8181036763538564)","('𐒋', 0.8091258902350716)","('𐒍', 0.8062605063204009)","('𐒒', 0.7882353306474349)","('𐒐', 0.7851702424386027)","('𐒀', 0.7757646556166056)","('𐒜', 0.7664765778210939)","('𐒓', 0.7613665292011392)","('𐒏', 0.7429667456226873)","('𐒖', 0.74260111717905)","('𐒙', 0.7282870132329524)","('𐒎', 0.7161503078687038)","('𐒝', 0.6926259988504584)","('𐒘', 0.6873854909042945)","('𐒂', 0.5819980044086898)","('𐒚', 0.3325308972504172)","('𐒃', 0.011667606991246027)","('𐒇', 0.0)"
24,"('𐒑', 0.9935276588776084)","('𐒈', 0.9512303430172357)","('𐒖', 0.9465414753017692)","('𐒕', 0.914434707192862)","('𐒛', 0.9537375062179418)","('𐒍', 0.9644700390891919)","('𐒅', 0.9798812567064806)","('𐒊', 0.9681713896843456)","('𐒌', 0.9421789552861949)","('𐒐', 0.9579142980470259)","('𐒜', 0.9079570932435062)","('𐒄', 0.9364868435831946)","('𐒙', 0.9550734781164529)","('𐒓', 0.9259499627451957)","('𐒉', 0.8959157651857911)","('𐒆', 0.8939070962701652)","('𐒂', 0.8886117325391434)","('𐒔', 0.8833451812720182)","('𐒝', 0.8781041804163757)","('𐒋', 0.8492999629546704)","('𐒁', 0.8480005922246661)","('𐒀', 0.8384176118111963)","('𐒗', 0.8246553176239859)","('𐒒', 0.81782527000186)","('𐒏', 0.8090758252081705)","('𐒘', 0.7926629652785735)","('𐒎', 0.7722710999099034)","('𐒚', 0.6423526831623011)","('𐒇', 0.5058222458184287)","('𐒃', 0.0)"
25,"('𐒛', 0.9962265441046185)","('𐒉', 0.9417954396065369)","('𐒖', 0.9466482263258332)","('𐒑', 0.9623474869259359)","('𐒅', 0.9365295376895566)","('𐒊', 0.9037148053647734)","('𐒍', 0.9847596818289182)","('𐒐', 0.9556808879499425)","('𐒂', 0.9335015605186882)","('𐒄', 0.9663948363787163)","('𐒙', 0.9021856891929327)","('𐒓', 0.8991500014789163)","('𐒆', 0.8966119152883524)","('𐒈', 0.8958330311181603)","('𐒘', 0.8896289181753226)","('𐒔', 0.8797978231876824)","('𐒌', 0.8730890902889687)","('𐒕', 0.872722073298802)","('𐒁', 0.8600448735178463)","('𐒀', 0.8545680367874529)","('𐒋', 0.8499094487649745)","('𐒜', 0.8473211436834942)","('𐒏', 0.8405264631155784)","('𐒝', 0.7949554484996392)","('𐒒', 0.789966801424872)","('𐒎', 0.7637568273911732)","('𐒗', 0.6772868991376733)","('𐒇', 0.6592710976392251)","('𐒚', 0.6477141791804863)","('𐒃', 0.0)"
26,"('𐒚', 0.9950818940168981)","('𐒒', 0.8428206154580121)","('𐒀', 0.817046162312687)","('𐒎', 0.7714794995935597)","('𐒋', 0.769394190402596)","('𐒆', 0.7595103868827906)","('𐒜', 0.7553483267013504)","('𐒏', 0.7096533700851758)","('𐒐', 0.7050568818282132)","('𐒉', 0.6897737980853144)","('𐒔', 0.6616476835748748)","('𐒈', 0.6564072403693693)","('𐒖', 0.6428309318728842)","('𐒘', 0.563134618806256)","('𐒇', 0.5508013120548738)","('𐒛', 0.5478818202164268)","('𐒄', 0.540447875699597)","('𐒂', 0.5362315161084051)","('𐒑', 0.5229769737545248)","('𐒙', 0.4945929839170725)","('𐒅', 0.4734559699041665)","('𐒍', 0.4727133781744125)","('𐒁', 0.4664880406736043)","('𐒝', 0.46154992760237035)","('𐒊', 0.44102600126916813)","('𐒕', 0.38126195865149526)","('𐒌', 0.23732219322160653)","('𐒓', 0.23699033458623675)","('𐒗', 0.11916367438317554)","('𐒃', 0.0)"
